Date,Open,High,Low,Close,Adjusted_close,Volume
2022-05-12,6.2,6.43,5.8,6.02,5.9537,67577
2022-05-13,6.28,6.73,6.1,6.73,6.6559,46050
2022-05-16,6.98,7.4,6.5,7.22,7.1405,75546
2022-05-17,7.3,7.38,7.01,7.01,6.9328,25319
2022-05-18,7.2,7.2,6.92,6.92,6.8438,30853
2022-05-19,7.0,7.0,6.61,6.85,6.7746,32365
2022-05-20,6.92,7.13,6.9,6.9,6.824,25973
2022-05-23,6.89,7.09,6.8,7.0,6.9229,15957
2022-05-24,7.0,7.07,6.73,6.99,6.913,13983
2022-05-25,6.97,6.99,6.8,6.84,6.7647,22658
2022-05-26,6.8,6.8,6.48,6.55,6.4779,102120
2022-05-27,6.57,6.58,6.47,6.51,6.4383,20984
2022-05-30,6.58,6.69,6.52,6.52,6.4482,61499
2022-05-31,6.51,6.59,6.46,6.48,6.4086,15918
2022-06-01,6.58,6.68,6.4,6.42,6.3493,30857
2022-06-02,6.42,6.53,6.42,6.49,6.4185,7015
2022-06-03,6.6,6.68,6.34,6.34,6.2702,35583
2022-06-06,6.64,6.64,6.28,6.37,6.2998,29009
2022-06-07,6.4,6.48,6.28,6.28,6.2108,28264
2022-06-08,6.31,6.4,6.28,6.28,6.2108,18037
2022-06-09,6.32,6.44,6.2,6.21,6.1416,22472
2022-06-10,6.2,6.25,5.97,5.98,5.9141,68090
2022-06-13,6.0,6.1,5.9,5.98,5.9141,32813
2022-06-14,6.08,6.19,5.9,5.92,5.8548,30428
2022-06-15,5.92,6.15,5.89,6.0,5.9339,50350
2022-06-17,5.98,6.0,5.9,5.95,5.8845,14514
2022-06-20,6.05,6.05,5.9,5.94,5.8746,21838
2022-06-21,6.0,6.02,5.95,5.98,5.9141,19006
2022-06-22,6.0,6.0,5.82,5.91,5.8449,28672
2022-06-23,5.91,5.99,5.85,5.95,5.8845,28677
2022-06-24,5.91,5.98,5.86,5.89,5.8251,26524
2022-06-27,5.99,6.02,5.9,5.9,5.835,15558
2022-06-28,5.9,5.99,5.84,5.9,5.835,29183
2022-06-29,5.85,5.95,5.8,5.95,5.8845,57073
2022-06-30,5.94,5.94,5.83,5.93,5.8647,10449
2022-07-01,5.93,5.99,5.84,5.95,5.8845,17885
